Time,Pitch,Roll,Yaw,X-Accel,Y-Accel,Z-Accel,Gyro1,Gyro2,Gyro3,Mag1,Mag2,Mag3
12.932685852050781,-2.0224214171969774,1.0686396899186692,-156.81039615657366,828,405,16211,-49,170,-192,414.875,-199.875,-58.0
13.207972764968872,-2.657817115672665,1.6046270831270288,-156.2862008566986,738,701,15621,101,-311,-70,403.25,-200.875,-57.625
13.483165740966797,-3.2514098170021213,2.016792003575421,-156.06557424521614,1691,857,16287,29,89,-229,413.375,-208.125,-59.25
13.75888967514038,-2.485108351357677,2.2639519859770894,-155.99786695678418,560,1352,16879,-230,325,-97,418.875,-199.125,-62.5
14.037078380584717,-3.031583547010195,2.744160159354217,-155.91164629807483,577,957,16577,127,-439,-252,415.5,-209.625,-63.0
14.395296812057495,-2.83670925412692,3.158152562685719,-156.42302459909777,558,765,16344,247,-47,-531,425.0,-206.0,-59.25
14.74947476387024,-3.804552040477961,3.0791466769327207,-157.35221394609653,1671,1517,16970,-377,-283,-601,437.875,-196.875,-70.625
15.107087135314941,-4.073476659710893,2.631388215394097,-156.90210591183057,1443,353,15974,-53,28,68,437.25,-202.0,-67.5
15.464736700057983,-3.98528874791444,2.9919285555713286,-157.54966147282312,1369,1700,16110,-283,152,-402,451.75,-197.375,-68.625
15.81398630142212,-3.8043175654457455,3.016659407149712,-157.63382500375275,854,621,16571,108,-36,-249,454.25,-205.625,-70.0
16.169892072677612,-3.3948510442848865,3.020627834519147,-158.05431973072663,949,712,16407,47,188,-409,463.625,-203.375,-65.625
16.527149438858032,-4.063985048995697,3.007202680736401,-157.78558834925533,1722,999,16921,-83,-93,-24,463.75,-206.625,-68.5
16.89145588874817,-3.655133821169777,2.6542170642831984,-157.41660888173226,671,567,16727,-123,24,-104,456.625,-215.25,-72.125
17.252254247665405,-4.146000473248208,3.1508406529568984,-157.5644211831141,1260,1413,16565,-42,-239,-356,464.375,-218.125,-73.625
17.61121964454651,-4.224806057137419,3.1621853311462753,-157.59803113541685,732,838,16237,-10,-290,-273,461.0,-214.625,-75.875
17.965416431427002,-4.540815940203412,2.4897352112262716,-157.6720315774668,1913,332,16999,-190,104,-239,470.0,-211.5,-78.375
18.322693347930908,-4.98799731055635,2.1887272247223573,-157.24058636974146,1593,-87,16480,172,-149,-51,460.5,-216.625,-82.25
18.683569192886353,-4.777617190984079,2.47665131538482,-157.28444617979275,1683,1175,16599,-116,260,-222,467.125,-216.0,-83.75
19.039104223251343,-4.618550754491664,2.8140124652797116,-157.27139081143233,732,770,16079,137,-212,-273,457.125,-217.625,-85.125
19.382349967956543,-5.311543219525192,3.109233329648789,-157.60294936040765,2312,1168,16054,-42,41,-363,459.0,-209.0,-78.25
19.741053104400635,-5.638675219041205,4.036774177334561,-157.9748834392455,1652,1769,16737,140,-196,-404,458.0,-210.125,-84.0
20.09719467163086,-4.904269753010375,4.302681830040065,-156.9917667813052,1068,771,16475,363,246,177,462.375,-226.0,-73.0
